hearing_date,hearing_title,topic,witness,witness_type,affiliation,expertise_area,position,claim_text,claim_type,topic_tags,evidence_text,evidence_type,quality_tier,is_nj_specific,source_citation
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Phoebe Stapleton",scientist,"Rutgers University","nanoplastics, cardiovascular toxicology",informational,"Nanoplastics can cross the blood-brain barrier",empirical,"nanoplastics,health,neurology","Peer-reviewed laboratory studies on nanoplastic tissue penetration",peer-reviewed,1,0,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Phoebe Stapleton",scientist,"Rutgers University","nanoplastics, cardiovascular toxicology",informational,"Nanoplastics have been found in human placental tissue",empirical,"nanoplastics,health,reproduction","Published studies detecting nanoplastics in human placental samples",peer-reviewed,1,0,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Phoebe Stapleton",scientist,"Rutgers University","nanoplastics, cardiovascular toxicology",informational,"Cardiovascular impacts observed in laboratory studies of nanoplastic exposure",empirical,"nanoplastics,health,cardiovascular",,,,,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Shanna Swan",scientist,"Icahn School of Medicine at Mount Sinai","phthalates, reproductive health, endocrine disruption",informational,"Phthalates are endocrine disruptors affecting human development",empirical,"phthalates,endocrine,health","Multiple peer-reviewed studies on phthalate endocrine disruption",peer-reviewed,1,0,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Shanna Swan",scientist,"Icahn School of Medicine at Mount Sinai","phthalates, reproductive health, endocrine disruption",informational,"CPSIA regulation successfully reduced phthalate exposure in children",empirical,"phthalates,regulation,policy-success","CDC biomonitoring data showing reduced phthalate levels post-CPSIA",government-data,2,0,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Shanna Swan",scientist,"Icahn School of Medicine at Mount Sinai","phthalates, reproductive health, endocrine disruption",informational,"Ortho-phthalates should be regulated as a class, not individually",policy-recommendation,"phthalates,regulation",,,,,
2024-04-22,"Plastic Pollution and Health",plastic-pollution,"Dr. Shanna Swan",scientist,"Icahn School of Medicine at Mount Sinai","phthalates, reproductive health, endocrine disruption",informational,"Bisphenols are endocrine disruptors that should be banned from food packaging",policy-recommendation,"bisphenols,endocrine,regulation",,,,,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Anthony Broccoli",scientist,"Rutgers University","atmospheric science, climate modeling",informational,"NJ temperatures have increased 3.5Â°F since 1900",empirical,"temperature,nj-specific,trends","NJ Climate Office temperature records since 1900",government-data,2,1,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Anthony Broccoli",scientist,"Rutgers University","atmospheric science, climate modeling",informational,"Rate of warming has accelerated in recent decades",empirical,"temperature,acceleration",,,,,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Anthony Broccoli",scientist,"Rutgers University","atmospheric science, climate modeling",informational,"Human activities are the dominant cause of observed warming",causal,"attribution,anthropogenic","IPCC attribution studies",peer-reviewed,1,0,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Ning Lin",scientist,"Princeton University","storm surge modeling, hurricane risk",informational,"Storm surge modeling shows increasing risk for NJ coast",predictive,"storm-surge,nj-specific,risk","Princeton storm surge modeling research",peer-reviewed,1,0,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Ning Lin",scientist,"Princeton University","storm surge modeling, hurricane risk",informational,"Sandy-level events will become more frequent with climate change",predictive,"sandy,frequency,climate-change","Published hurricane frequency projections under warming scenarios",peer-reviewed,1,0,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Ning Lin",scientist,"Princeton University","storm surge modeling, hurricane risk",informational,"Sea level rise compounds storm surge impacts",causal,"sea-level,storm-surge,compounding",,,,,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Thomas Herrington",scientist,"Monmouth University Urban Coast Institute","coastal resilience, beach nourishment",informational,"Beach nourishment provides cost-effective storm protection",empirical,"beaches,cost-benefit,protection",,,,,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Thomas Herrington",scientist,"Monmouth University Urban Coast Institute","coastal resilience, beach nourishment",informational,"NJ beach investments prevented $1.3B in Sandy damages",empirical,"sandy,nj-specific,economic","USACE post-Sandy damage assessment",government-data,2,1,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Thomas Herrington",scientist,"Monmouth University Urban Coast Institute","coastal resilience, beach nourishment",informational,"NJ beach investments prevented $1.3B in Sandy damages",empirical,"sandy,nj-specific,economic","FEMA claims data for NJ shore communities",government-data,2,1,
2024-08-01,"Climate Resiliency",climate-resiliency,"Dr. Thomas Herrington",scientist,"Monmouth University Urban Coast Institute","coastal resilience, beach nourishment",informational,"Federal cost-share programs essential for coastal protection",policy-recommendation,"federal,funding,policy",,,,,
